Country;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;;;;;;30;;;62;;76;;74;;;88;
Albania;;105;;111;;;159;141;;;;158;;189;;;188
Algeria;;;121;127;;158;;;164;;;162;;;;146;
American Samoa;243;301;446;;;410;198;;;240;;382;;;;345;
Andorra;83;90;;;37;;;;73;;;38;72;;;;69
Angola;37;44;;52;;;;87;;;;105;106;;93;;
Anguilla;;;;;;401;;387;;;487;;;307;;;367
Argentina;148;;140;;154;;151;;;147;;164;160;;186;;
Armenia;;135;92;89;;109;;;156;;;;;130;;;119
Aruba;;;;324;;277;;;;;224;;165;;;;
Australia;115;;117;126;;;129;;133;;130;;;151;;;172
Austria;;100;;106;105;;95;;103;;;98;;95;;;98
Azerbaijan;;217;219;;229;;;228;;;;;236;;;;235
Bahamas;416;;;462;;422;;;382;;444;;363;;;438;
Bahrain;;;95;;;;;;136;;275;301;;;;234;
Bangladesh;45;;50;;50;;51;;42;;;42;;43;;;53
Barbados;317;367;367;;;;379;;354;;;521;;322;;;300
Belarus;554;532;;;426;;;381;;;335;;306;;364;;
Belgium;89;;88;;91;;93;;97;;;108;105;;;;88
Belize;;420;;;487;;455;;;439;476;;;449;;356;
Benin;;;;;75;;66;;75;;77;;;;;68;
Bermuda;;532;;;463;394;;428;;;417;;354;319;;;
Bhutan;;;;;;;;;;135;;;145;;;;
Bolivia;;76;;83;82;;;;87;;;140;;122;;;156
Botswana;381;327;339;348;;329;;267;;;205;188;;;;208;
Brazil;;160;183;191;;;227;;253;;274;;301;;;;324
Bulgaria;;134;;143;148;;134;120;;;151;;125;;;;
Burkina Faso;24;;;;;;;;32;;28;;34;;41;;
Burundi;133;;;106;;;104;;114;;;72;93;;;84;
Cambodia;44;;47;58;;71;;;94;;106;;;105;;176;
Cameroon;132;125;;139;;;;119;;119;;115;;;121;;
Canada;;116;107;;;116;;117;;;118;;106;;114;;
Cape Verde;;;;;;;;;253;;267;286;;;;298;
Cayman Is ;664;501;429;;453;;380;;;;330;;;375;;;393
Chad;48;;;35;;;;;;39;41;;;59;;;
Chile;205;;;;240;;305;;;305;;266;;247;;;233
China;117;118;;119;;;;;122;;121;;119;118;;;
Colombia;;;152;;134;;149;;181;;;245;;244;;;240
Comoros;;;;;;;;;19;;;;31;;;23;
Costa Rica;;;177;;181;;198;;249;314;;;352;;;374;
